,Date,(PADD 1) Refinery and Blender Net Input of Crude Oil,(PADD 2) Refinery and Blender Net Input of Crude Oil,(PADD 3) Refinery and Blender Net Input of Crude Oil,(PADD 4) Refinery and Blender Net Input of Crude Oil,(PADD 5) Refinery and Blender Net Input of Crude Oil,Total_US_Refinery_Net_Input_of_Crude Oil by month,Month,Year
420,Jan-2016,35235.0,115438.0,252514.0,17826.0,73477.0,494490.0,Jan,2016
421,Feb-2016,31685.0,105169.0,239811.0,16681.0,66096.0,459442.0,Feb,2016
422,Mar-2016,32884.0,105672.0,267947.0,18058.0,73995.0,498556.0,Mar,2016
423,Apr-2016,34745.0,100007.0,254036.0,15420.0,73400.0,477608.0,Apr,2016
424,May-2016,36690.0,111828.0,265512.0,17826.0,71485.0,503341.0,May,2016
425,Jun-2016,33768.0,110479.0,257359.0,19403.0,71969.0,492978.0,Jun,2016
426,Jul-2016,32893.0,115425.0,270287.0,19575.0,77077.0,515257.0,Jul,2016
427,Aug-2016,34037.0,116117.0,266752.0,18963.0,78525.0,514394.0,Aug,2016
428,Sep-2016,33245.0,108732.0,254903.0,19318.0,73997.0,490195.0,Sep,2016
429,Oct-2016,33825.0,110888.0,251344.0,18362.0,64666.0,479085.0,Oct,2016
430,Nov-2016,33537.0,110228.0,259490.0,18783.0,65019.0,487057.0,Nov,2016
431,Dec-2016,32952.0,115145.0,275248.0,18655.0,69992.0,511992.0,Dec,2016
432,Jan-2017,32542.0,115384.0,259998.0,19014.0,72727.0,499665.0,Jan,2017
433,Feb-2017,25268.0,101597.0,228979.0,16518.0,61445.0,433807.0,Feb,2017
434,Mar-2017,27610.0,114641.0,263568.0,18783.0,72884.0,497486.0,Mar,2017
435,Apr-2017,31846.0,114023.0,267757.0,19440.0,75567.0,508633.0,Apr,2017
436,May-2017,34451.0,118383.0,288212.0,19114.0,73734.0,533894.0,May,2017
437,Jun-2017,33863.0,117307.0,275420.0,18335.0,71197.0,516122.0,Jun,2017
438,Jul-2017,33420.0,119644.0,286021.0,20148.0,77608.0,536841.0,Jul,2017
439,Aug-2017,35333.0,123424.0,266929.0,20338.0,80372.0,526396.0,Aug,2017
440,Sep-2017,33169.0,110971.0,223108.0,20119.0,76439.0,463806.0,Sep,2017
441,Oct-2017,33981.0,105756.0,268322.0,19332.0,70506.0,497897.0,Oct,2017
442,Nov-2017,34795.0,112056.0,268422.0,17471.0,72444.0,505188.0,Nov,2017
443,Dec-2017,34587.0,118372.0,285809.0,18519.0,78219.0,535506.0,Dec,2017
444,Jan-2018,33107.0,115808.0,271933.0,19538.0,74189.0,514575.0,Jan,2018
445,Feb-2018,27091.0,101857.0,232240.0,18343.0,66684.0,446215.0,Feb,2018
446,Mar-2018,28513.0,114873.0,275001.0,19058.0,79174.0,516619.0,Mar,2018
447,Apr-2018,33308.0,117135.0,265981.0,17223.0,69339.0,502986.0,Apr,2018
448,May-2018,35878.0,125381.0,274736.0,18151.0,71885.0,526031.0,May,2018
449,Jun-2018,33838.0,119361.0,278192.0,19473.0,79106.0,529970.0,Jun,2018
450,Jul-2018,35314.0,120652.0,281733.0,19893.0,80475.0,538067.0,Jul,2018
451,Aug-2018,33108.0,123851.0,289856.0,18868.0,80627.0,546310.0,Aug,2018
452,Sep-2018,30088.0,109414.0,273792.0,19689.0,76743.0,509726.0,Sep,2018
453,Oct-2018,28585.0,100442.0,286111.0,19710.0,73931.0,508779.0,Oct,2018
454,Nov-2018,30235.0,114588.0,277537.0,17372.0,75131.0,514863.0,Nov,2018
455,Dec-2018,32486.0,121859.0,290610.0,19010.0,75726.0,539691.0,Dec,2018
456,Jan-2019,31404.0,120238.0,274595.0,19638.0,74397.0,520272.0,Jan,2019
457,Feb-2019,21722.0,98749.0,240551.0,16927.0,65732.0,443681.0,Feb,2019
458,Mar-2019,28301.0,109578.0,264130.0,18833.0,73133.0,493975.0,Mar,2019
459,Apr-2019,30861.0,112300.0,263752.0,17078.0,66245.0,490236.0,Apr,2019
460,May-2019,33700.0,109421.0,280897.0,20437.0,73848.0,518303.0,May,2019
461,Jun-2019,31053.0,117498.0,273773.0,20312.0,74438.0,517074.0,Jun,2019
462,Jul-2019,27510.0,126585.0,279199.0,21289.0,77848.0,532431.0,Jul,2019
463,Aug-2019,26235.0,127293.0,282182.0,21445.0,79047.0,536202.0,Aug,2019
464,Sep-2019,24566.0,116636.0,261038.0,19164.0,70689.0,492093.0,Sep,2019
465,Oct-2019,22644.0,113258.0,258510.0,16870.0,74825.0,486107.0,Oct,2019
466,Nov-2019,23966.0,114679.0,265681.0,17723.0,72404.0,494453.0,Nov,2019
467,Dec-2019,24919.0,121730.0,279028.0,20029.0,74863.0,520569.0,Dec,2019
468,Jan-2020,23790.0,117548.0,272545.0,19304.0,69970.0,503157.0,Jan,2020
469,Feb-2020,19986.0,108849.0,243397.0,18059.0,69842.0,460133.0,Feb,2020
470,Mar-2020,19747.0,106648.0,261727.0,17077.0,66816.0,472015.0,Mar,2020
471,Apr-2020,15822.0,87405.0,217152.0,13218.0,49995.0,383592.0,Apr,2020
472,May-2020,18523.0,95814.0,221019.0,15070.0,51266.0,401692.0,May,2020
473,Jun-2020,18167.0,99667.0,224323.0,17252.0,52552.0,411961.0,Jun,2020
474,Jul-2020,16212.0,111416.0,240724.0,18947.0,57177.0,444476.0,Jul,2020
475,Aug-2020,18573.0,113605.0,228675.0,18450.0,59391.0,438694.0,Aug,2020
476,Sep-2020,16451.0,105215.0,209989.0,17582.0,57948.0,407185.0,Sep,2020
477,Oct-2020,17657.0,106378.0,218513.0,16479.0,57760.0,416787.0,Oct,2020
478,Nov-2020,17734.0,105090.0,228018.0,16546.0,56325.0,423713.0,Nov,2020
479,Dec-2020,18362.0,106235.0,240269.0,16945.0,56524.0,438335.0,Dec,2020
480,Jan-2021,18510.0,112467.0,245489.0,17332.0,56480.0,450278.0,Jan,2021
481,Feb-2021,16567.0,92328.0,169170.0,16233.0,52161.0,346459.0,Feb,2021
482,Mar-2021,20986.0,112124.0,232866.0,17271.0,62627.0,445874.0,Mar,2021
